name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
0_1_1_12_18_18_3_6_13_22_18_20_9_3_2_17_20_9,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_19_4_22_17_17_19_14_4_4_2_15_14_19_3_20_3_4_16_5_8_5_8_9_8_9_9_8,bl_3,33,32,8,0.9242424242424242,1.93939393939394,4.0,28,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_7_8_19_5_15_16_12_2_18_4_20_19_2_5_18_2_15_5_8_9_9_8,bl_3,46,45,8,0.9425465838509316,1.9565217391304348,4.260869565217392,41,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_3_2_8_18_7_5_2_9_4_18_6_15_9_16_12_5_11,bl_3,33,32,8,0.9264069264069263,1.93939393939394,4.181818181818182,28,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_10_7_19_14_10_3_2_9_15_2_5_15_4_15_4_8_4_16_18_20_9_9_8,bl_3,41,40,9,0.9207317073170732,1.951219512195122,4.146341463414634,36,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_10_2_14_22_5_6_2_8_5_18_8_14_9_3_20_19_18,bl_3,32,31,9,0.93359375,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_13_22_16_20_8_16_17_8_20_6_17_2_19_4_2_8_8_15_14_5_20_9,bl_3,46,45,8,0.9425465838509316,1.9565217391304348,4.260869565217392,41,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_18_10_6_14_10_3_22_2_18_16_9_20_9_5_2_8_17_5,bl_3,32,31,9,0.93359375,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_11_10_15_6_18_2_9_15_7_5_2_16_8_5_3,bl_3,29,28,8,0.9261083743842364,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_11_12_16_18_2_18_6_9_3_22_3_18_8_20_5,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_19_10_13_7_14_3_6_3_3,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_14_9_10_2_16_16_7_16_8_3_5_20_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_19_3_2_15_20_6_10_3_12_9_22_14_4_20_8_15_9,bl_3,24,23,9,0.9192708333333334,1.9166666666666667,4.0,19,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_6_15_22_20_10_17_8_2_4_8_20_18_15_3_9_2_17_8_4_17_5_8,bl_3,40,39,9,0.928125,1.95,4.15,35,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_14_12_3_13_16_2_7_14_5_8_3,bl_3,19,18,8,0.9022556390977444,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_14_14_10_12_6_22_20_9_15_2_4_17_4_5_16_15_9_9_9_3_3,bl_3,30,29,9,0.9166666666666666,1.933333333333333,4.0,25,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_18_21_18_20_9_9_16_3_3_14_12_22_18_20_8_5,bl_3,25,24,8,0.9342857142857144,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_2_17_9_17_12_21_16_7_9_14_2_4_17_20_2_8_19_17_4_17_5_4_8_19_9_5_9_4_18_4_5_16_9_8_9,bl_3,62,61,8,0.9297235023041476,1.967741935483871,4.193548387096774,57,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_21_8_3_9_22_5_2_20_20_19_8_8_19_19_18_4_9_4_15_17_19_14_4_15_8_8_20,bl_3,47,46,8,0.9270516717325228,1.9574468085106385,4.127659574468085,42,0.0,0,,0.0,0.0,0.0,1.0,1.0
